字,聲母,介音,韻腹,韻尾,聲調,注
姊,ts,,ɿ,,3,白
姊,tɕ,,i,,3,文
始,ɕ,,i,,3,
姐,tɕ,j,ɛ,,3,
姑,k,,u,,1,
姓,ɕ,j,a,ŋ,5,白
姓,ɕ,,i,n,5,文
委,,w,i,,3,
姘,pʰ,,i,n,1,
姚,tʰ,,a,u,2,
姚,,j,a,u,2,
姜,tɕ,j,o,ŋ,1,
姥,m,,u,,3,
姨,,,i,,2,
姬,tɕ,,i,,1,
姻,,,i,n,1,
姿,ts,,ɿ,,1,
威,,w,i,,1,
娃,,w,a,,1,
嬌,tɕ,j,a,u,1,
娑,s,,o,,1,
娘,n,j,o,ŋ,2,
娠,ɕ,,i,n,2,
娩,m,j,ɛ,n,3,
娛,ŋ,,u,,6,
娶,tsʰ,,ɛ,,3,白
娶,tɕʰ,,i,,5,文
婆,pʰ,,o,,2,
婚,f,,u,n,1,
婢,p,,i,,1,
婪,l,,o,n,2,
嬸,ɕ,,i,n,3,
媒,m,,a,i,2,白
媒,m,,i,,2,
媒,m,,o,i,2,
媚,m,,i,,6,
媾,k,,ɛ,u,5,
嫁,k,,a,,5,
嫂,s,,a,u,3,
嫌,ɕ,j,ɛ,n,2,
嫖,pʰ,j,a,u,2,
嫡,t,,i,ʔ,7,
嫩,l,,u,n,6,
嬉,ɕ,,i,,1,
孀,s,,o,ŋ,1,
子,ts,,ɿ,,3,
孑,tɕ,j,ɛ,t,7,
孔,kʰ,,u,ŋ,3,
孕,,,i,n,6,
字,tsʰ,,ɿ,,6,
存,tsʰ,,u,n,2,
孫,s,,u,n,1,
孝,h,,a,u,5,
孟,m,,ɛ,n,6,
季,tɕ,,i,,5,
孤,k,,u,,1,
學,h,,o,ʔ,8,
孩,h,,o,i,2,
孽,n,j,ɛ,t,7,
寧,n,j,a,ŋ,6,白
寧,l,,i,n,2,文
宅,tsʰ,,ɛ,ʔ,7,
宇,,,i,,3,
守,ɕ,j,u,,3,
安,ŋ,,o,n,1,
宋,s,,u,ŋ,5,
完,f,,o,n,2,白
完,,w,o,n,2,文
宕,tʰ,,o,ŋ,6,
宗,ts,,u,ŋ,1,
官,k,w,o,n,1,
宙,tʰ,j,u,,6,
定,tʰ,j,a,ŋ,6,白
定,tʰ,,i,n,6,文
宛,,w,o,n,3,
宜,n,,i,,2,
寶,p,,a,u,3,
實,ɕ,,i,t,8,
寵,tʰ,,u,ŋ,3,
審,ɕ,,i,n,3,
客,kʰ,,a,ʔ,7,白
客,kʰ,,ɛ,ʔ,7,文
宣,ɕ,ɥ,o,n,1,
室,ɕ,,i,t,7,
宥,,j,u,,6,
宦,f,,a,n,6,
憲,ɕ,j,ɛ,n,5,
宮,tɕ,j,u,ŋ,1,
宰,ts,,a,i,3,
害,h,,o,i,6,
宴,,j,ɛ,n,5,
宵,ɕ,j,a,u,1,
家,k,,a,,1,
容,,j,u,ŋ,2,
寬,kʰ,w,o,n,1,
賓,p,,i,n,1,
宿,ɕ,j,u,ʔ,7,
寂,tɕʰ,,i,ʔ,8,
寂,tɕ,,i,,5,新
寄,tɕ,,i,,5,
寅,,,i,n,2,
密,m,,i,t,7,
寇,kʰ,,ɛ,u,5,
富,f,,u,,5,
寐,m,,i,,6,
寒,h,,o,n,2,
寓,n,,i,,6,
寢,tɕʰ,,i,n,3,
寞,m,,o,ʔ,7,
察,tsʰ,,a,t,7,
寡,k,w,a,,3,
寥,t,j,a,u,2,
寨,tsʰ,,a,i,6,
寸,tsʰ,,u,n,5,
對,t,w,i,,5,
寺,s,,ɿ,,6,
尋,tɕʰ,,i,n,2,白
尋,ɕ,,i,n,2,文
導,tʰ,,a,u,5,
壽,ɕ,j,u,,6,
封,f,,u,ŋ,1,
射,s,,a,,6,
射,ɕ,,i,ʔ,8,
將,tɕ,j,o,ŋ,1,
將,tɕ,j,o,ŋ,5,
尊,ts,,u,n,1,
小,ɕ,j,a,u,3,
小,ɕ,j,a,u,3,
少,s,,ɛ,u,3,
少,s,,ɛ,u,5,
爾,,,ɛ,,3,
尖,tɕ,j,ɛ,n,1,
塵,tʰ,,i,n,2,
尚,s,,o,ŋ,6,
嘗,s,,o,ŋ,2,
尤,,j,u,,2,
堯,n,j,a,u,2,
就,tɕʰ,j,u,,6,
屍,ɕ,,i,,1,
尹,,,y,n,3,
尺,tʰ,,a,ʔ,7,白
尺,tʰ,,i,ʔ,7,文
盡,tɕ,,i,n,3,「一直」
盡,tɕʰ,,i,n,6,「全部」
尾,,m,i,,3,白
尾,,w,i,,3,文
尿,n,j,a,u,6,
局,tɕʰ,j,u,ʔ,8,
屁,pʰ,,i,,5,
層,tsʰ,,ɛ,n,2,
居,tɕ,,i,,1,
屈,tɕʰ,,y,t,7,
屆,k,,a,i,5,
屋,,,u,ʔ,7,
屎,ɕ,,i,,3,
