字,聲母,介音,韻腹,韻尾,聲調,注
客,kʰ,,a,ʔ,7,白
客,kʰ,,ɛ,ʔ,7,
宣,ɕ,y,o,n,1,
室,ɕ,,i,t,7,
宥,,i,u,,6,
宦,f,,a,n,6,
宪,ɕ,i,ɛ,n,5,
宮,tɕ,i,u,ŋ,1,
宰,ts,,a,i,3,
害,h,,o,i,6,
宴,,i,ɛ,n,5,
宵,ɕ,i,a,u,1,
家,k,,a,,1,
容,,i,u,ŋ,2,
寬,kʰ,u,o,n,1,
賓,p,,ə,n,1,白
賓,p,,i,n,1,
宿,ɕ,i,u,ʔ,7,
寂,tɕʰ,,i,ʔ,8,
寄,tɕ,,i,,5,
寅,,,i,n,2,
密,m,,i,t,7,
寇,kʰ,,ɛ,u,5,
富,f,,u,,5,
寐,m,,i,,6,
寒,h,,o,n,2,
寓,n,,i,,6,
寢,tɕʰ,,i,m,3,
寞,m,,o,ʔ,7,
察,tsʰ,,a,t,7,
寡,k,u,a,,3,
寥,t,i,a,u,2,
寨,tsʰ,,a,i,6,
寸,tsʰ,u,ə,n,5,
對,t,u,i,,5,
寺,s,,ɿ,,6,
尋,tɕʰ,,i,m,2,白
尋,ɕ,,i,m,2,
導,tʰ,,a,u,5,
壽,ɕ,i,u,,6,
封,f,,u,ŋ,1,
射,s,,a,,6,
射,ɕ,,i,ʔ,8,
將,tɕ,i,o,ŋ,1,
將,tɕ,i,o,ŋ,5,
尊,ts,u,ə,n,1,
小,ɕ,i,a,u,3,
小,ɕ,i,a,u,3,
少,s,,a,u,3,
少,s,,ɛ,u,3,
少,s,,a,u,5,
少,s,,ɛ,u,5,
尔,,,ɛ,,3,
尖,tɕ,i,ɛ,m,1,
尘,tʰ,,i,n,2,
尚,s,,o,ŋ,6,
嘗,s,,o,ŋ,2,
尤,,i,u,,2,
堯,n,i,a,u,2,
就,tɕʰ,i,u,,6,
屍,ɕ,,i,,1,
尹,,,y,n,3,
尺,tʰ,,a,ʔ,7,白
尺,tʰ,,i,ʔ,7,
尽,tɕ,,i,n,3,
尽,tɕʰ,,i,n,6,
尾,,u,i,,3,
尿,n,i,a,u,6,
局,tɕʰ,i,u,ʔ,8,
屁,pʰ,,i,,5,
層,tsʰ,,ɛ,n,2,
居,tɕ,,i,,1,
屈,tɕʰ,,y,t,7,
屆,k,,a,i,5,
屋,,,u,ʔ,7,
屎,ɕ,,i,,3,
屏,pʰ,,i,n,2,
屐,tɕʰ,i,a,ʔ,8,白
